City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,3.63,66,71,1.34,US,1732491558
1,yellowknife,62.456,-114.3525,-9.21,93,100,3.09,CA,1732491781
2,tolanaro,-25.0319,46.9987,25.04,88,40,3.09,MG,1732491781
3,hamilton,39.1834,-84.5333,11.6,69,0,3.6,US,1732490948
4,grytviken,-54.2811,-36.5092,4.57,72,3,5.06,GS,1732491773
5,coquimbo,-29.9533,-71.3436,17.85,69,0,4.63,CL,1732491555
6,edinburgh of the seven seas,-37.0676,-12.3116,11.96,74,94,4.97,SH,1732491782
7,papatowai,-46.5619,169.4708,18.03,51,69,5.76,NZ,1732491782
8,tommot,58.9564,126.2925,-18.31,99,100,0.78,RU,1732491782
9,afaahiti,-17.75,-149.2833,25.33,84,57,6.3,PF,1732491782
10,saint-mandrier-sur-mer,43.078,5.929,13.94,79,100,3.58,FR,1732491690
11,iqaluit,63.7506,-68.5145,-2.15,86,100,4.63,CA,1732491782
12,puerto natales,-51.7236,-72.4875,8.16,73,95,0.85,CL,1732491783
13,flying fish cove,-10.4217,105.6791,27.65,81,100,3.4,CX,1732491783
14,jamestown,42.097,-79.2353,4.45,92,100,4.63,US,1732491521
15,timra,62.487,17.3257,2.82,93,100,7.2,SE,1732491783
16,waitangi,-43.9535,-176.5597,13.32,94,74,10.56,NZ,1732491783
17,horta,38.5333,-28.6333,14.45,79,98,1.79,PT,1732491783
18,stanley,54.868,-1.6985,9.01,80,75,6.69,GB,1732491784
19,acarau,-2.8856,-40.12,26.3,76,40,7.09,BR,1732491784
20,brookings,44.3114,-96.7984,1.77,91,100,6.17,US,1732491565
21,tabalosos,-6.35,-76.6833,17.91,98,98,0.88,PE,1732491784
22,mahina,-17.5065,-149.489,29.87,70,75,2.06,PF,1732491784
23,praia da vitoria,38.7333,-27.0667,15.14,77,20,2.12,PT,1732491784
24,barreirinhas,-2.7469,-42.8264,26.14,80,66,4.4,BR,1732491785
25,west island,-12.1568,96.8225,25.99,94,100,9.77,CC,1732491785
26,rio grande,-32.035,-52.0986,20.68,82,0,9.84,BR,1732491782
27,siauliai,55.9333,23.3167,1.01,100,100,7.72,LT,1732491785
28,holualoa,19.6228,-155.9522,24.35,74,100,3.6,US,1732491783
29,puerto lempira,15.2667,-83.7667,25.16,83,60,5.95,HN,1732491785
30,adamstown,-25.066,-130.1015,22.31,66,44,7.07,PN,1732491786
31,polyarnyy,69.1989,33.4478,-3.14,83,50,6.28,RU,1732491786
32,masterton,-40.9597,175.6575,23.11,44,50,2.07,NZ,1732491786
33,nadym,65.5333,72.5167,1.58,92,100,10.59,RU,1732491786
34,strelka,58.0728,93.0344,-16.45,99,97,0.72,RU,1732491786
35,margaret river,-33.95,115.0667,15.14,72,79,8.87,AU,1732491786
36,ribeira grande,38.5167,-28.7,14.87,79,98,1.79,PT,1732491779
37,selfoss,63.9331,-20.9971,-7.15,81,3,4.26,IS,1732491787
38,cody,44.5263,-109.0565,-2.45,91,75,3.09,US,1732491787
39,trairi,-3.2778,-39.2689,25.79,76,32,4.4,BR,1732491625
40,port-aux-francais,-49.35,70.2167,4.05,79,90,12.44,TF,1732491787
41,ushuaia,-54.8,-68.3,8.81,49,40,5.14,AR,1732491787
42,chul'man,56.8479,124.9104,-16.82,98,100,1.24,RU,1732491787
43,invercargill,-46.4,168.35,14.45,73,49,7.6,NZ,1732491788
44,howard springs,-12.497,131.047,30.49,75,85,1.64,AU,1732491788
45,yemva,62.59,50.8594,-3.75,88,100,3.92,RU,1732491788
46,uliastay,47.7417,96.8444,-18.08,84,73,1.26,MN,1732491788
47,olonkinbyen,70.9221,-8.7187,-4.38,58,5,5.61,SJ,1732491788
48,klyuchi,52.2667,79.1667,-11.6,96,24,0.63,RU,1732491788
49,yelizovo,53.1873,158.3805,0.08,59,75,3.0,RU,1732491789
50,phu kradueng,16.8843,101.8847,22.03,85,100,0.96,TH,1732491789
51,aasiaat,68.7098,-52.8699,-4.91,88,100,5.91,GL,1732491789
52,lucapa,-8.4192,20.7447,18.08,96,92,0.94,AO,1732491789
53,al jawf,29.5,38.75,12.98,68,0,5.18,SA,1732491789
54,suva,-18.1416,178.4415,27.71,89,100,3.09,FJ,1732491789
55,ilulissat,69.2167,-51.1,-0.99,93,100,6.69,GL,1732491774
56,puerto ayora,-0.7393,-90.3518,23.08,80,19,2.68,EC,1732491790
57,yulinshi,38.2906,109.7494,-2.34,33,69,9.61,CN,1732491790
58,uyuni,-20.4597,-66.825,11.86,66,88,8.56,BO,1732491790
59,bilibino,68.0546,166.4372,-26.89,96,100,0.9,RU,1732491790
60,katsuura,35.1333,140.3,12.82,64,11,8.09,JP,1732491784
61,banda aceh,5.5577,95.3222,26.05,80,100,1.94,ID,1732491790
62,ust-nera,64.5667,143.2,-30.81,96,95,0.88,RU,1732491791
63,la'ie,21.6477,-157.9253,28.98,65,0,2.24,US,1732491791
64,el abiodh sidi cheikh,32.893,0.5484,10.45,61,0,1.57,DZ,1732491791
65,kirakira,-10.4544,161.9205,29.63,73,35,3.46,SB,1732491791
66,machico,32.7,-16.7667,19.84,85,20,2.06,PT,1732491791
67,howrah,22.5892,88.3103,18.0,88,20,1.54,IN,1732491791
68,bridlington,54.0831,-0.1919,10.11,65,100,4.47,GB,1732491792
69,cam ranh,11.9214,109.1591,25.98,83,40,2.06,VN,1732491792
70,kourou,5.1552,-52.6478,25.24,88,91,2.42,GF,1732491792
71,gilford,43.5476,-71.4067,2.98,59,20,8.05,US,1732491734
72,tralee,52.2704,-9.7026,7.93,75,61,7.68,IE,1732491792
73,woolgoolga,-30.1106,153.2007,25.52,65,10,5.6,AU,1732491792
74,wailua homesteads,22.0669,-159.378,25.63,79,16,0.45,US,1732491792
75,tobelo,1.7284,128.0095,28.27,78,59,1.54,ID,1732491793
76,blackmans bay,-43.0167,147.3167,14.07,94,94,2.69,AU,1732491771
77,sadjoavato,-12.6334,49.349,22.84,92,17,1.77,MG,1732491793
78,kavaratti,10.5669,72.642,27.68,65,100,4.51,IN,1732491793
79,susuman,62.7833,148.1667,-35.56,96,77,0.4,RU,1732491793
80,udachny,66.4167,112.4,-30.37,94,28,3.86,RU,1732491793
81,bethel,41.3712,-73.414,7.23,58,39,2.68,US,1732491793
82,queanbeyan,-35.35,149.2333,27.46,47,100,2.06,AU,1732491794
83,kedougou,12.5579,-12.1743,26.32,47,0,0.0,SN,1732491794
84,mogocha,53.7333,119.7667,-12.06,96,100,1.11,RU,1732491794
85,dudinka,69.4058,86.1778,-2.71,97,100,8.59,RU,1732491794
86,stavrovo,56.1331,40.013,-3.4,88,6,1.48,RU,1732491794
87,inongo,-1.95,18.2667,22.17,89,42,1.24,CD,1732491795
88,laguna,38.421,-121.4238,16.79,50,0,3.09,US,1732491795
89,olyokminsk,60.3736,120.4264,-17.97,97,100,1.52,RU,1732491776
90,petropavlovsk-kamchatsky,53.0452,158.6483,-0.67,59,75,3.0,RU,1732491787
91,muli,2.9167,73.5667,27.72,75,97,2.96,MV,1732491795
92,qina,26.1642,32.7267,15.24,42,0,5.73,EG,1732491795
93,fale old settlement,-9.3852,-171.2468,28.69,71,14,6.49,TK,1732491788
94,bodhan,18.6667,77.9,15.54,72,94,1.32,IN,1732491796
